version,scenario_name,mean,std,n
Base,bomb_9999,1.8975844383239742,0.0,10
Base,pair_88,0.3089408874511719,0.0,10
Base,real_pair_QQ_landlord,0.1554732322692871,0.0,10
Base,rocket_BR,1.11460542678833,0.0,10
Base,single_A_follow,0.6999688148498535,0.0,10
Base,straight_34567,4.167691230773926,0.0,10
LoRA-v2,bomb_9999,4.180375576019287,0.0,10
LoRA-v2,pair_88,5.284265518188477,0.0,10
LoRA-v2,real_pair_QQ_landlord,4.107275724411011,0.0,10
LoRA-v2,rocket_BR,5.42724883556366,0.0,10
LoRA-v2,single_A_follow,3.2520968914031982,0.0,10
LoRA-v2,straight_34567,3.9771065711975098,0.0,10
