layer,head,head_id,orig_lora,ablated_lora,ce_lora,source_csv_lora,orig_base,ablated_base,ce_base,source_csv_base,delta_ce,layer_bin
0,22,0-22,4.371394852797191,-3.329530874888102,7.700925727685293,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,0.7517865498860677,0.6389241218566893,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,7.062001605828604,0-6
0,24,0-24,4.371394852797191,-3.804606755574544,8.176001608371735,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,-0.114020029703776,1.5047307014465332,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,6.671270906925201,0-6
0,26,0-26,4.371394852797191,-1.8524742126464844,6.223869065443675,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,-0.2808562914530436,1.6715669631958008,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,4.552302102247874,0-6
0,23,0-23,4.371394852797191,0.1922279198964437,4.179166932900747,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,0.2076988220214843,1.1830118497212727,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,2.9961550831794748,0-6
0,15,0-15,4.371394852797191,0.9617826143900552,3.4096122384071355,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,0.4670689900716145,0.9236416816711426,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,2.485970556735993,0-6
20,21,20-21,4.371394852797191,2.192450046539306,2.178944806257884,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.3127890427907307,0.0779216289520263,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,2.1010231773058576,14-20
18,18,18-18,4.371394852797191,1.751678645610809,2.6197162071863813,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,0.8263808886210123,0.5643297831217448,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,2.0553864240646367,14-20
11,22,11-22,4.371394852797191,2.2093070844809213,2.1620877683162694,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.2746280034383135,0.1160826683044433,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,2.046005100011826,7-13
10,14,10-14,4.371394852797191,2.550685942173004,1.8207089106241865,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.3156462510426838,0.0750644207000732,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,1.7456444899241133,7-13
19,0,19-0,4.371394852797191,3.091661592324575,1.2797332604726157,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.7059625784556072,-0.3152519067128501,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,1.5949851671854658,14-20
