run,model,version,step,epoch,loss,learning_rate,source
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,10,0.0014311270125223613,2.3138,4.291845493562232e-07,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,20,0.0028622540250447226,2.3859,9.060562708631379e-07,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,30,0.004293381037567084,2.4002,1.3829279923700524e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,40,0.005724508050089445,2.3317,1.8597997138769672e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,50,0.007155635062611807,2.1828,2.3366714353838815e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,60,0.008586762075134168,2.2712,2.8135431568907967e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,70,0.01001788908765653,2.3447,3.2904148783977115e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,80,0.01144901610017889,2.326,3.767286599904626e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,90,0.012880143112701253,2.2362,4.244158321411541e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,100,0.014311270125223614,2.2968,4.721030042918455e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,110,0.015742397137745976,2.1593,5.19790176442537e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,120,0.017173524150268335,2.1823,5.674773485932285e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,130,0.018604651162790697,2.4163,6.151645207439199e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,140,0.02003577817531306,2.102,6.628516928946114e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,150,0.02146690518783542,2.3511,7.105388650453028e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,160,0.02289803220035778,2.1902,7.582260371959943e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,170,0.024329159212880144,1.9894,8.059132093466858e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,180,0.025760286225402506,2.0283,8.536003814973773e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,190,0.027191413237924865,2.1678,9.012875536480687e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,200,0.028622540250447227,2.012,9.489747257987603e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,210,0.03005366726296959,1.9832,9.966618979494516e-06,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,220,0.03148479427549195,2.0229,1.0443490701001432e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,230,0.032915921288014315,2.0179,1.0920362422508346e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,240,0.03434704830053667,2.1702,1.139723414401526e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,250,0.03577817531305903,1.9982,1.1874105865522175e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,260,0.037209302325581395,2.0711,1.235097758702909e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,270,0.03864042933810376,2.0268,1.2827849308536005e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,280,0.04007155635062612,2.016,1.330472103004292e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,290,0.04150268336314848,2.0604,1.3781592751549835e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,300,0.04293381037567084,2.0566,1.4258464473056748e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,310,0.0443649373881932,2.1403,1.4735336194563662e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,320,0.04579606440071556,2.0395,1.5212207916070578e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,330,0.047227191413237925,1.9342,1.5689079637577493e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,340,0.04865831842576029,2.0527,1.616595135908441e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,350,0.05008944543828265,2.0643,1.664282308059132e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,360,0.05152057245080501,1.9933,1.7119694802098234e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,370,0.05295169946332737,1.9078,1.759656652360515e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,380,0.05438282647584973,1.9502,1.8073438245112066e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,390,0.05581395348837209,1.9129,1.8550309966618982e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,400,0.057245080500894455,2.0945,1.9027181688125895e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,410,0.05867620751341682,1.8432,1.950405340963281e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,420,0.06010733452593918,1.8557,1.9980925131139723e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,430,0.06153846153846154,1.792,2.045779685264664e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,440,0.0629695885509839,2.0263,2.0934668574153555e-05,final trainer_log.jsonl
